winÇý¶¯Ãû
HP LaserJet 700 M712 PCL 6
HP LaserJet 400 M401 PCL 6
HP LaserJet Pro M402-M403 n-dne PCL 6
HP LaserJet Pro MFP M225-M226 PCL 6
HP Color LaserJet Pro M452 PCL 6
HP Color LaserJet E75245 PCL 6 (V3)
HP Color LaserJet M750 PCL 6
Canon Generic Plus UFR II
HP Color LaserJet Pro M478f-9f PCL-6 (V4)
HP LaserJet Pro M329 PCL-6 (V4)
HP Color LaserJet Pro M453-4 PCL-6 (V4)
HP LaserJet MFP M227-M231 PCL-6 (V4)
Kyocera ECOSYS P4135dn
HP LaserJet M1530 MFP Series PCL 6
Lenovo Universal Printer 2
Canon iR1435 UFRII LT
